"JournalKey","PreparerKey","Source","Date"
1675,7276,"Source 1","2020-08-18T05:00:00.000Z"
1676,10247,"Source 5","2019-08-25T05:00:00.000Z"
1677,9223,"Source 5","2019-04-23T05:00:00.000Z"
1678,8888,"Source 3","2018-08-06T05:00:00.000Z"
1679,3297,"Source 1","2018-04-28T05:00:00.000Z"
1680,4176,"Source 2","2020-11-21T05:00:00.000Z"
1681,4571,"Source 1","2020-07-21T05:00:00.000Z"
1682,4744,"Source 5","2019-11-26T05:00:00.000Z"
1683,10382,"Source 1","2018-06-23T05:00:00.000Z"
1684,9202,"Source 2","2018-02-23T05:00:00.000Z"
1685,4301,"Source 2","2020-09-02T05:00:00.000Z"
1686,4386,"Source 2","2020-01-17T05:00:00.000Z"
1687,10283,"Source 5","2020-03-12T05:00:00.000Z"
1688,8123,"Source 1","2018-12-19T05:00:00.000Z"
1689,5519,"Source 1","2020-01-28T05:00:00.000Z"
1690,5820,"Source 5","2019-04-05T05:00:00.000Z"
1691,7249,"Source 2","2018-09-18T05:00:00.000Z"
1692,9292,"Source 2","2020-11-09T05:00:00.000Z"
1693,5924,"Source 1","2020-07-23T05:00:00.000Z"
1694,2713,"Source 4","2019-06-04T05:00:00.000Z"
1695,5376,"Source 5","2018-04-29T05:00:00.000Z"
1696,5253,"Source 3","2019-08-09T05:00:00.000Z"
1697,8377,"Source 5","2020-12-20T05:00:00.000Z"
1698,11243,"Source 2","2020-10-16T05:00:00.000Z"
1699,6255,"Source 3","2020-02-04T05:00:00.000Z"
1700,1042,"Source 5","2020-06-03T05:00:00.000Z"
1701,11006,"Source 3","2018-02-25T05:00:00.000Z"
1702,3089,"Source 5","2018-06-22T05:00:00.000Z"
1703,3183,"Source 4","2019-02-15T05:00:00.000Z"
1704,1223,"Source 1","2019-11-10T05:00:00.000Z"
1705,6621,"Source 3","2018-01-03T05:00:00.000Z"
1706,7553,"Source 2","2020-12-30T05:00:00.000Z"
1707,7031,"Source 4","2019-12-25T05:00:00.000Z"
1708,7643,"Source 1","2020-09-06T05:00:00.000Z"
1709,1584,"Source 1","2018-01-24T05:00:00.000Z"
1710,8440,"Source 2","2018-04-12T05:00:00.000Z"
1711,9548,"Source 4","2020-11-10T05:00:00.000Z"
1712,3705,"Source 3","2018-09-10T05:00:00.000Z"
1713,7579,"Source 4","2019-05-31T05:00:00.000Z"
1714,9417,"Source 5","2018-10-10T05:00:00.000Z"
1715,3573,"Source 1","2018-11-18T05:00:00.000Z"
1716,9600,"Source 5","2018-05-07T05:00:00.000Z"
1717,10936,"Source 1","2020-03-18T05:00:00.000Z"
1718,5118,"Source 5","2018-08-13T05:00:00.000Z"
1719,2428,"Source 4","2020-10-10T05:00:00.000Z"
1720,8583,"Source 2","2020-04-29T05:00:00.000Z"
1721,1998,"Source 1","2019-07-21T05:00:00.000Z"
1722,7146,"Source 5","2020-06-29T05:00:00.000Z"
1723,5000,"Source 3","2018-05-03T05:00:00.000Z"
1724,4096,"Source 2","2019-11-18T05:00:00.000Z"
1725,6887,"Source 4","2019-11-25T05:00:00.000Z"
1726,5618,"Source 4","2018-07-12T05:00:00.000Z"
1727,9410,"Source 2","2018-10-14T05:00:00.000Z"
1728,5377,"Source 1","2019-01-31T05:00:00.000Z"
1729,9259,"Source 3","2018-10-15T05:00:00.000Z"
1730,9639,"Source 2","2019-02-14T05:00:00.000Z"
1731,9905,"Source 2","2020-01-18T05:00:00.000Z"
1732,9285,"Source 5","2018-04-30T05:00:00.000Z"
1733,6113,"Source 5","2018-05-06T05:00:00.000Z"
1734,6620,"Source 5","2018-07-25T05:00:00.000Z"
1735,3549,"Source 5","2019-06-10T05:00:00.000Z"
1736,9138,"Source 3","2018-06-29T05:00:00.000Z"
1737,3845,"Source 4","2020-08-24T05:00:00.000Z"
1738,6048,"Source 5","2019-04-06T05:00:00.000Z"
1739,10172,"Source 4","2020-06-04T05:00:00.000Z"
1740,1324,"Source 3","2019-04-07T05:00:00.000Z"
1741,4709,"Source 3","2018-07-11T05:00:00.000Z"
1742,1402,"Source 4","2018-05-06T05:00:00.000Z"
1743,6744,"Source 5","2020-05-14T05:00:00.000Z"
1744,4543,"Source 4","2019-01-17T05:00:00.000Z"
1745,8699,"Source 1","2020-11-25T05:00:00.000Z"
1746,7121,"Source 4","2018-03-14T05:00:00.000Z"
1747,8234,"Source 5","2018-07-12T05:00:00.000Z"
1748,11230,"Source 1","2019-12-18T05:00:00.000Z"
1749,1015,"Source 3","2020-11-20T05:00:00.000Z"
1750,5755,"Source 4","2020-11-12T05:00:00.000Z"
1751,2497,"Source 4","2020-10-29T05:00:00.000Z"
1752,11510,"Source 3","2019-04-08T05:00:00.000Z"
1753,11911,"Source 3","2019-04-12T05:00:00.000Z"
1754,11844,"Source 1","2019-06-24T05:00:00.000Z"
1755,5193,"Source 3","2018-07-19T05:00:00.000Z"
1756,11668,"Source 4","2020-02-05T05:00:00.000Z"
1757,1152,"Source 4","2019-07-14T05:00:00.000Z"
1758,3174,"Source 5","2019-08-01T05:00:00.000Z"
1759,3674,"Source 3","2020-09-06T05:00:00.000Z"
1760,4487,"Source 2","2019-01-22T05:00:00.000Z"
1761,8973,"Source 5","2018-12-28T05:00:00.000Z"
1762,2494,"Source 2","2018-12-10T05:00:00.000Z"
1763,5459,"Source 2","2019-03-05T05:00:00.000Z"
1764,8686,"Source 2","2018-06-19T05:00:00.000Z"
1765,11209,"Source 1","2018-12-23T05:00:00.000Z"
1766,6054,"Source 4","2020-02-01T05:00:00.000Z"
1767,3034,"Source 4","2019-11-26T05:00:00.000Z"
1768,6636,"Source 1","2019-04-20T05:00:00.000Z"
1769,696,"Source 5","2018-02-07T05:00:00.000Z"
1770,3339,"Source 1","2019-03-31T05:00:00.000Z"
1771,10555,"Source 5","2018-03-09T05:00:00.000Z"
1772,3448,"Source 5","2018-10-31T05:00:00.000Z"
1773,7435,"Source 3","2018-06-23T05:00:00.000Z"
1774,10853,"Source 2","2019-06-27T05:00:00.000Z"
1775,6827,"Source 2","2018-12-31T05:00:00.000Z"
1776,2939,"Source 1","2019-08-19T05:00:00.000Z"
1777,9006,"Source 2","2020-07-10T05:00:00.000Z"
1778,2995,"Source 4","2019-12-18T05:00:00.000Z"
1779,7833,"Source 5","2019-07-19T05:00:00.000Z"
1780,3035,"Source 5","2019-11-17T05:00:00.000Z"
1781,6573,"Source 2","2020-04-19T05:00:00.000Z"
1782,1384,"Source 2","2020-11-08T05:00:00.000Z"
1783,7719,"Source 4","2019-07-13T05:00:00.000Z"
1784,3115,"Source 1","2018-11-25T05:00:00.000Z"
1785,7412,"Source 4","2018-01-07T05:00:00.000Z"
1786,546,"Source 3","2020-03-04T05:00:00.000Z"
1787,1981,"Source 2","2019-05-02T05:00:00.000Z"
1788,9595,"Source 5","2020-09-04T05:00:00.000Z"
1789,216,"Source 4","2020-06-24T05:00:00.000Z"
1790,9198,"Source 3","2019-02-20T05:00:00.000Z"
1791,4239,"Source 2","2018-03-07T05:00:00.000Z"
1792,8510,"Source 3","2019-09-20T05:00:00.000Z"
1793,8254,"Source 1","2018-06-07T05:00:00.000Z"
1794,6198,"Source 1","2019-11-24T05:00:00.000Z"
1795,1455,"Source 4","2019-10-19T05:00:00.000Z"
1796,7855,"Source 5","2019-06-08T05:00:00.000Z"
1797,4353,"Source 4","2019-07-23T05:00:00.000Z"
1798,5114,"Source 3","2020-11-15T05:00:00.000Z"
1799,7490,"Source 5","2018-03-31T05:00:00.000Z"
1800,11122,"Source 5","2018-03-23T05:00:00.000Z"
1801,2333,"Source 3","2018-09-03T05:00:00.000Z"
1802,2691,"Source 4","2019-11-24T05:00:00.000Z"
1803,8066,"Source 3","2018-02-08T05:00:00.000Z"
1804,3772,"Source 1","2019-07-17T05:00:00.000Z"
1805,4372,"Source 4","2018-11-24T05:00:00.000Z"
1806,4516,"Source 1","2018-04-21T05:00:00.000Z"
1807,2859,"Source 3","2019-10-14T05:00:00.000Z"
1808,6608,"Source 2","2019-06-20T05:00:00.000Z"
1809,1923,"Source 3","2019-05-10T05:00:00.000Z"
1810,3132,"Source 1","2020-12-28T05:00:00.000Z"
1811,6383,"Source 4","2018-03-18T05:00:00.000Z"
1812,2494,"Source 5","2020-06-09T05:00:00.000Z"
1813,11093,"Source 1","2020-12-01T05:00:00.000Z"
1814,3800,"Source 4","2020-04-18T05:00:00.000Z"
1815,1750,"Source 4","2018-02-19T05:00:00.000Z"
1816,11229,"Source 4","2020-02-09T05:00:00.000Z"
1817,10504,"Source 3","2018-04-23T05:00:00.000Z"
1818,113,"Source 3","2019-04-19T05:00:00.000Z"
1819,7391,"Source 1","2018-02-21T05:00:00.000Z"
1820,2115,"Source 1","2019-03-03T05:00:00.000Z"
1821,552,"Source 2","2020-03-08T05:00:00.000Z"
1822,1527,"Source 4","2019-07-02T05:00:00.000Z"
1823,1633,"Source 5","2020-07-12T05:00:00.000Z"
1824,5135,"Source 4","2019-10-03T05:00:00.000Z"
1825,7069,"Source 5","2018-04-13T05:00:00.000Z"
1826,9503,"Source 3","2018-12-05T05:00:00.000Z"
1827,1424,"Source 1","2020-11-20T05:00:00.000Z"
1828,7857,"Source 1","2020-06-13T05:00:00.000Z"
1829,9340,"Source 5","2020-09-19T05:00:00.000Z"
1830,9753,"Source 3","2018-10-24T05:00:00.000Z"
1831,8147,"Source 1","2019-06-07T05:00:00.000Z"
1832,9102,"Source 1","2020-11-30T05:00:00.000Z"
1833,818,"Source 5","2019-03-24T05:00:00.000Z"
1834,7049,"Source 3","2018-10-03T05:00:00.000Z"
1835,8543,"Source 2","2020-09-22T05:00:00.000Z"
1836,3349,"Source 4","2020-12-08T05:00:00.000Z"
1837,7984,"Source 3","2020-02-11T05:00:00.000Z"
1838,7928,"Source 2","2020-09-23T05:00:00.000Z"
1839,2392,"Source 4","2020-04-29T05:00:00.000Z"
1840,2096,"Source 1","2019-10-12T05:00:00.000Z"
1841,3533,"Source 2","2018-10-01T05:00:00.000Z"
1842,10501,"Source 1","2018-07-29T05:00:00.000Z"
1843,7541,"Source 5","2020-01-10T05:00:00.000Z"
1844,8387,"Source 2","2020-01-08T05:00:00.000Z"
1845,4915,"Source 2","2020-04-18T05:00:00.000Z"
1846,5532,"Source 1","2019-10-26T05:00:00.000Z"
1847,940,"Source 4","2019-02-12T05:00:00.000Z"
1848,10548,"Source 3","2020-07-29T05:00:00.000Z"
1849,10495,"Source 5","2018-09-02T05:00:00.000Z"
1850,5992,"Source 5","2020-11-15T05:00:00.000Z"
1851,7890,"Source 4","2020-02-22T05:00:00.000Z"
1852,551,"Source 1","2020-05-15T05:00:00.000Z"
1853,3769,"Source 2","2019-02-28T05:00:00.000Z"
1854,8436,"Source 5","2018-07-08T05:00:00.000Z"
1855,11492,"Source 2","2020-01-26T05:00:00.000Z"
1856,5100,"Source 3","2020-03-10T05:00:00.000Z"
1857,476,"Source 1","2018-09-29T05:00:00.000Z"
1858,7520,"Source 1","2018-12-26T05:00:00.000Z"
1859,9416,"Source 4","2019-06-25T05:00:00.000Z"
1860,11482,"Source 4","2018-03-05T05:00:00.000Z"
1861,8971,"Source 5","2018-03-27T05:00:00.000Z"
1862,5927,"Source 1","2018-05-13T05:00:00.000Z"
1863,3776,"Source 2","2020-10-26T05:00:00.000Z"
1864,7773,"Source 4","2018-01-30T05:00:00.000Z"
1865,8451,"Source 5","2020-12-09T05:00:00.000Z"
1866,9934,"Source 5","2020-12-12T05:00:00.000Z"
1867,345,"Source 1","2020-07-01T05:00:00.000Z"
1868,9000,"Source 1","2019-03-11T05:00:00.000Z"
1869,8991,"Source 2","2018-07-16T05:00:00.000Z"
1870,5945,"Source 5","2018-12-03T05:00:00.000Z"
1871,4977,"Source 5","2018-09-13T05:00:00.000Z"
1872,4973,"Source 3","2019-03-22T05:00:00.000Z"
1873,525,"Source 3","2019-01-15T05:00:00.000Z"
1874,8264,"Source 1","2020-10-26T05:00:00.000Z"
1875,547,"Source 5","2019-09-11T05:00:00.000Z"
1876,5169,"Source 5","2019-08-26T05:00:00.000Z"
1877,9459,"Source 3","2019-08-16T05:00:00.000Z"
1878,5101,"Source 2","2018-09-10T05:00:00.000Z"
1879,174,"Source 5","2018-08-01T05:00:00.000Z"
1880,1833,"Source 5","2018-08-16T05:00:00.000Z"
1881,3840,"Source 4","2020-09-26T05:00:00.000Z"
1882,5712,"Source 5","2019-08-05T05:00:00.000Z"
1883,7266,"Source 3","2019-04-05T05:00:00.000Z"
1884,6216,"Source 4","2020-03-28T05:00:00.000Z"
1885,1545,"Source 1","2019-08-17T05:00:00.000Z"
1886,11838,"Source 1","2018-12-18T05:00:00.000Z"
1887,11978,"Source 2","2018-11-28T05:00:00.000Z"
1888,4633,"Source 3","2020-08-20T05:00:00.000Z"
1889,1450,"Source 1","2018-12-22T05:00:00.000Z"
1890,1626,"Source 3","2020-06-17T05:00:00.000Z"
1891,2288,"Source 5","2020-01-10T05:00:00.000Z"
1892,754,"Source 1","2019-10-15T05:00:00.000Z"
1893,11394,"Source 1","2018-01-31T05:00:00.000Z"
1894,9107,"Source 4","2020-08-17T05:00:00.000Z"
1895,7843,"Source 3","2019-10-30T05:00:00.000Z"
1896,10959,"Source 4","2020-12-18T05:00:00.000Z"
1897,11398,"Source 1","2020-01-11T05:00:00.000Z"
1898,11217,"Source 2","2019-08-18T05:00:00.000Z"
1899,10573,"Source 5","2018-02-01T05:00:00.000Z"
1900,2112,"Source 1","2020-07-22T05:00:00.000Z"
1901,7832,"Source 3","2018-01-09T05:00:00.000Z"
1902,226,"Source 4","2018-11-26T05:00:00.000Z"
1903,6448,"Source 1","2020-12-16T05:00:00.000Z"
1904,4379,"Source 1","2018-09-06T05:00:00.000Z"
1905,2040,"Source 4","2020-11-28T05:00:00.000Z"
1906,8515,"Source 1","2020-04-28T05:00:00.000Z"
1907,3705,"Source 3","2018-04-17T05:00:00.000Z"
1908,3588,"Source 3","2020-08-07T05:00:00.000Z"
1909,8342,"Source 3","2019-01-29T05:00:00.000Z"
1910,8474,"Source 2","2020-03-18T05:00:00.000Z"
1911,8525,"Source 3","2020-01-11T05:00:00.000Z"
1912,916,"Source 4","2019-11-16T05:00:00.000Z"
1913,9376,"Source 5","2018-08-20T05:00:00.000Z"
1914,4473,"Source 1","2019-04-17T05:00:00.000Z"
1915,10156,"Source 5","2019-04-13T05:00:00.000Z"
1916,7856,"Source 1","2018-04-03T05:00:00.000Z"
1917,8400,"Source 3","2020-02-14T05:00:00.000Z"
1918,5005,"Source 4","2020-06-29T05:00:00.000Z"
1919,867,"Source 5","2020-12-09T05:00:00.000Z"
1920,1711,"Source 5","2019-01-21T05:00:00.000Z"
1921,849,"Source 3","2018-02-20T05:00:00.000Z"
1922,4408,"Source 5","2018-09-21T05:00:00.000Z"
1923,11787,"Source 5","2019-07-02T05:00:00.000Z"
1924,6685,"Source 1","2019-08-30T05:00:00.000Z"
1925,5915,"Source 5","2020-06-11T05:00:00.000Z"
1926,2383,"Source 4","2020-03-27T05:00:00.000Z"
1927,6681,"Source 1","2020-08-02T05:00:00.000Z"
1928,2016,"Source 1","2020-04-16T05:00:00.000Z"
1929,7456,"Source 5","2018-11-25T05:00:00.000Z"
1930,5443,"Source 4","2020-10-09T05:00:00.000Z"
1931,8894,"Source 5","2020-12-25T05:00:00.000Z"
1932,1361,"Source 3","2019-03-24T05:00:00.000Z"
1933,4464,"Source 1","2018-01-24T05:00:00.000Z"
1934,8140,"Source 3","2018-09-03T05:00:00.000Z"
1935,7433,"Source 4","2018-02-07T05:00:00.000Z"
1936,4483,"Source 3","2018-01-03T05:00:00.000Z"
1937,8031,"Source 1","2019-03-06T05:00:00.000Z"
1938,1975,"Source 4","2019-08-26T05:00:00.000Z"
1939,1115,"Source 2","2020-01-07T05:00:00.000Z"
1940,3277,"Source 5","2019-05-10T05:00:00.000Z"
1941,4943,"Source 2","2018-10-22T05:00:00.000Z"
1942,10502,"Source 1","2020-09-26T05:00:00.000Z"
1943,5291,"Source 3","2018-10-05T05:00:00.000Z"
1944,6045,"Source 3","2018-04-11T05:00:00.000Z"
1945,3793,"Source 1","2018-06-30T05:00:00.000Z"
1946,11924,"Source 4","2020-04-23T05:00:00.000Z"
1947,6214,"Source 1","2019-03-11T05:00:00.000Z"
1948,8505,"Source 3","2018-09-19T05:00:00.000Z"
1949,5171,"Source 4","2018-02-22T05:00:00.000Z"
1950,2058,"Source 3","2020-07-16T05:00:00.000Z"
1951,4318,"Source 2","2019-10-12T05:00:00.000Z"
1952,11814,"Source 1","2018-04-06T05:00:00.000Z"
1953,598,"Source 4","2019-05-08T05:00:00.000Z"
1954,125,"Source 3","2018-10-02T05:00:00.000Z"
1955,3291,"Source 1","2019-09-03T05:00:00.000Z"
1956,4437,"Source 1","2019-06-25T05:00:00.000Z"
1957,8697,"Source 3","2018-12-31T05:00:00.000Z"
1958,1252,"Source 5","2019-04-25T05:00:00.000Z"
1959,7661,"Source 1","2020-06-08T05:00:00.000Z"
1960,6292,"Source 4","2019-01-09T05:00:00.000Z"
1961,1745,"Source 3","2020-02-20T05:00:00.000Z"
1962,3357,"Source 3","2019-04-05T05:00:00.000Z"
1963,4558,"Source 3","2019-12-02T05:00:00.000Z"
1964,7124,"Source 5","2020-11-08T05:00:00.000Z"
1965,3698,"Source 1","2018-07-27T05:00:00.000Z"
1966,3096,"Source 4","2020-05-31T05:00:00.000Z"
1967,7152,"Source 4","2019-11-30T05:00:00.000Z"
1968,10326,"Source 2","2020-06-13T05:00:00.000Z"
1969,11364,"Source 1","2019-04-24T05:00:00.000Z"
1970,4567,"Source 1","2019-09-28T05:00:00.000Z"
1971,5146,"Source 2","2020-02-23T05:00:00.000Z"
1972,11934,"Source 4","2018-06-06T05:00:00.000Z"
1973,2048,"Source 4","2020-08-17T05:00:00.000Z"
1974,3338,"Source 2","2019-11-26T05:00:00.000Z"
1975,2900,"Source 5","2020-03-15T05:00:00.000Z"
1976,10424,"Source 3","2020-04-07T05:00:00.000Z"
1977,3959,"Source 5","2018-02-02T05:00:00.000Z"
1978,4452,"Source 3","2019-01-23T05:00:00.000Z"
1979,4468,"Source 5","2019-12-02T05:00:00.000Z"
1980,3897,"Source 1","2019-03-04T05:00:00.000Z"
1981,1280,"Source 3","2020-05-15T05:00:00.000Z"
1982,9387,"Source 4","2019-07-21T05:00:00.000Z"
1983,5622,"Source 5","2018-04-04T05:00:00.000Z"
1984,11925,"Source 5","2019-06-07T05:00:00.000Z"
1985,8494,"Source 2","2019-03-20T05:00:00.000Z"
1986,10419,"Source 5","2020-09-03T05:00:00.000Z"
1987,68,"Source 4","2020-08-22T05:00:00.000Z"
1988,8627,"Source 3","2019-09-17T05:00:00.000Z"
1989,3700,"Source 5","2018-06-15T05:00:00.000Z"
1990,8749,"Source 5","2018-06-28T05:00:00.000Z"
1991,1021,"Source 4","2018-04-12T05:00:00.000Z"
1992,5926,"Source 1","2020-12-19T05:00:00.000Z"
1993,8060,"Source 2","2018-04-24T05:00:00.000Z"
1994,9623,"Source 4","2018-12-31T05:00:00.000Z"
1995,8637,"Source 4","2020-06-23T05:00:00.000Z"
1996,6835,"Source 2","2019-04-04T05:00:00.000Z"
1997,9008,"Source 1","2020-03-03T05:00:00.000Z"
1998,1489,"Source 5","2020-02-08T05:00:00.000Z"
1999,10811,"Source 3","2019-04-28T05:00:00.000Z"
2000,86,"Source 5","2018-03-16T05:00:00.000Z"
2001,10575,"Source 5","2019-04-24T05:00:00.000Z"
2002,92,"Source 3","2018-04-25T05:00:00.000Z"
2003,3332,"Source 3","2018-08-17T05:00:00.000Z"
2004,10233,"Source 2","2018-04-17T05:00:00.000Z"
2005,9617,"Source 2","2019-04-17T05:00:00.000Z"
2006,9444,"Source 2","2019-04-06T05:00:00.000Z"
2007,8947,"Source 3","2020-07-25T05:00:00.000Z"
2008,11755,"Source 1","2019-03-09T05:00:00.000Z"
2009,4289,"Source 2","2018-11-25T05:00:00.000Z"
2010,9021,"Source 1","2019-09-30T05:00:00.000Z"
2011,11210,"Source 5","2018-01-03T05:00:00.000Z"
2012,6139,"Source 5","2018-11-15T05:00:00.000Z"
2013,11614,"Source 4","2019-10-01T05:00:00.000Z"
2014,7147,"Source 2","2020-06-21T05:00:00.000Z"
2015,5252,"Source 1","2018-07-01T05:00:00.000Z"
2016,9405,"Source 2","2018-08-06T05:00:00.000Z"
2017,11965,"Source 5","2018-05-05T05:00:00.000Z"
2018,518,"Source 3","2018-08-29T05:00:00.000Z"
2019,4715,"Source 3","2018-10-15T05:00:00.000Z"
2020,7437,"Source 2","2018-05-17T05:00:00.000Z"
2021,1861,"Source 3","2018-03-06T05:00:00.000Z"
2022,3216,"Source 3","2018-07-08T05:00:00.000Z"
2023,1314,"Source 3","2018-02-03T05:00:00.000Z"
2024,7958,"Source 2","2020-08-20T05:00:00.000Z"
2025,1266,"Source 5","2018-05-29T05:00:00.000Z"
2026,7743,"Source 1","2020-09-11T05:00:00.000Z"
2027,7961,"Source 5","2020-03-25T05:00:00.000Z"
2028,4981,"Source 1","2020-01-31T05:00:00.000Z"
2029,3998,"Source 4","2018-06-24T05:00:00.000Z"
2030,2791,"Source 1","2019-09-07T05:00:00.000Z"
2031,2830,"Source 1","2018-08-05T05:00:00.000Z"
2032,9104,"Source 5","2018-04-11T05:00:00.000Z"
2033,5669,"Source 3","2018-02-20T05:00:00.000Z"
2034,9777,"Source 1","2020-03-28T05:00:00.000Z"
2035,3809,"Source 5","2020-12-23T05:00:00.000Z"
2036,7749,"Source 2","2019-11-15T05:00:00.000Z"
2037,8681,"Source 4","2020-04-22T05:00:00.000Z"
2038,989,"Source 2","2018-11-30T05:00:00.000Z"
2039,4995,"Source 2","2018-02-06T05:00:00.000Z"
2040,2695,"Source 3","2019-01-14T05:00:00.000Z"
2041,6405,"Source 3","2019-12-09T05:00:00.000Z"
2042,11603,"Source 3","2018-07-18T05:00:00.000Z"
2043,7005,"Source 1","2018-05-18T05:00:00.000Z"
2044,488,"Source 4","2020-01-31T05:00:00.000Z"
2045,266,"Source 2","2019-05-07T05:00:00.000Z"
2046,5501,"Source 5","2018-01-31T05:00:00.000Z"
2047,2233,"Source 1","2018-06-26T05:00:00.000Z"
2048,5931,"Source 1","2019-04-01T05:00:00.000Z"
2049,9806,"Source 2","2020-01-26T05:00:00.000Z"
2050,7212,"Source 3","2020-11-10T05:00:00.000Z"
2051,9584,"Source 3","2018-08-26T05:00:00.000Z"
2052,10153,"Source 4","2020-10-02T05:00:00.000Z"
2053,8710,"Source 1","2019-01-16T05:00:00.000Z"
2054,1878,"Source 4","2020-02-08T05:00:00.000Z"
2055,1059,"Source 5","2019-06-10T05:00:00.000Z"
2056,11956,"Source 2","2018-07-19T05:00:00.000Z"
2057,2201,"Source 5","2019-06-25T05:00:00.000Z"
2058,6374,"Source 3","2020-08-10T05:00:00.000Z"
2059,9529,"Source 2","2018-05-09T05:00:00.000Z"
2060,6023,"Source 4","2020-04-11T05:00:00.000Z"
2061,1819,"Source 3","2018-07-17T05:00:00.000Z"
2062,10676,"Source 3","2019-07-11T05:00:00.000Z"
2063,8221,"Source 2","2018-09-24T05:00:00.000Z"
2064,11859,"Source 3","2018-09-19T05:00:00.000Z"
2065,4376,"Source 5","2020-11-06T05:00:00.000Z"
2066,9289,"Source 4","2020-02-01T05:00:00.000Z"
2067,5408,"Source 1","2018-04-25T05:00:00.000Z"
2068,1274,"Source 3","2019-09-08T05:00:00.000Z"
2069,7408,"Source 4","2018-10-19T05:00:00.000Z"
2070,3750,"Source 1","2018-08-28T05:00:00.000Z"
2071,4366,"Source 3","2020-11-19T05:00:00.000Z"
2072,202,"Source 5","2019-11-23T05:00:00.000Z"
2073,5050,"Source 5","2018-07-10T05:00:00.000Z"
2074,8226,"Source 1","2020-12-05T05:00:00.000Z"
2075,4657,"Source 2","2019-05-27T05:00:00.000Z"
2076,2611,"Source 1","2018-03-03T05:00:00.000Z"
2077,8211,"Source 5","2020-09-06T05:00:00.000Z"
2078,3281,"Source 1","2020-04-27T05:00:00.000Z"
2079,11861,"Source 1","2018-10-15T05:00:00.000Z"
2080,707,"Source 2","2020-08-15T05:00:00.000Z"
2081,7943,"Source 2","2020-05-09T05:00:00.000Z"
2082,2830,"Source 4","2019-08-26T05:00:00.000Z"
2083,11456,"Source 5","2019-04-15T05:00:00.000Z"
2084,9114,"Source 4","2019-05-28T05:00:00.000Z"
2085,2196,"Source 5","2020-01-27T05:00:00.000Z"
2086,11025,"Source 5","2019-07-12T05:00:00.000Z"
2087,4403,"Source 4","2018-06-23T05:00:00.000Z"
2088,3148,"Source 4","2020-07-23T05:00:00.000Z"
2089,6769,"Source 2","2018-04-04T05:00:00.000Z"
2090,824,"Source 2","2019-12-19T05:00:00.000Z"
2091,3013,"Source 2","2019-12-22T05:00:00.000Z"
2092,2958,"Source 1","2019-11-16T05:00:00.000Z"
2093,5812,"Source 5","2020-10-02T05:00:00.000Z"
2094,2488,"Source 5","2019-06-18T05:00:00.000Z"
2095,10971,"Source 2","2018-03-12T05:00:00.000Z"
2096,11638,"Source 4","2018-04-17T05:00:00.000Z"
2097,424,"Source 2","2020-12-28T05:00:00.000Z"
2098,6551,"Source 1","2018-11-06T05:00:00.000Z"
2099,1791,"Source 3","2018-02-07T05:00:00.000Z"
2100,1463,"Source 1","2020-10-12T05:00:00.000Z"
2101,11009,"Source 5","2019-12-31T05:00:00.000Z"
2102,5518,"Source 2","2019-05-05T05:00:00.000Z"
2103,7509,"Source 1","2020-11-02T05:00:00.000Z"
2104,106,"Source 4","2018-04-24T05:00:00.000Z"
2105,6314,"Source 2","2020-07-20T05:00:00.000Z"
2106,6083,"Source 5","2020-02-20T05:00:00.000Z"
2107,7997,"Source 1","2018-06-15T05:00:00.000Z"
2108,2511,"Source 1","2019-05-03T05:00:00.000Z"
2109,1834,"Source 4","2019-08-27T05:00:00.000Z"
2110,880,"Source 3","2019-01-12T05:00:00.000Z"
2111,4511,"Source 3","2018-05-16T05:00:00.000Z"
2112,8920,"Source 2","2018-02-07T05:00:00.000Z"
2113,10877,"Source 5","2018-08-08T05:00:00.000Z"
2114,3659,"Source 1","2019-02-26T05:00:00.000Z"
2115,1815,"Source 5","2019-04-18T05:00:00.000Z"
2116,4370,"Source 5","2019-09-27T05:00:00.000Z"
2117,1193,"Source 5","2018-03-03T05:00:00.000Z"
2118,7846,"Source 1","2020-10-30T05:00:00.000Z"
2119,3256,"Source 3","2019-04-11T05:00:00.000Z"
2120,2509,"Source 2","2020-06-14T05:00:00.000Z"
2121,5270,"Source 4","2018-01-12T05:00:00.000Z"
2122,10957,"Source 3","2019-05-04T05:00:00.000Z"
2123,3687,"Source 4","2019-08-15T05:00:00.000Z"
2124,2936,"Source 5","2018-11-03T05:00:00.000Z"
2125,1331,"Source 1","2018-01-27T05:00:00.000Z"
2126,6424,"Source 3","2019-01-09T05:00:00.000Z"
2127,7487,"Source 5","2020-12-25T05:00:00.000Z"
2128,10368,"Source 1","2018-04-28T05:00:00.000Z"
2129,10117,"Source 5","2020-06-23T05:00:00.000Z"
2130,7820,"Source 3","2019-09-20T05:00:00.000Z"
2131,210,"Source 1","2020-12-05T05:00:00.000Z"
2132,4406,"Source 1","2020-08-14T05:00:00.000Z"
2133,662,"Source 4","2018-05-18T05:00:00.000Z"
2134,7515,"Source 3","2019-12-22T05:00:00.000Z"
2135,8894,"Source 1","2020-05-26T05:00:00.000Z"
2136,11274,"Source 2","2019-06-13T05:00:00.000Z"
2137,248,"Source 3","2020-08-27T05:00:00.000Z"
2138,5872,"Source 3","2018-09-09T05:00:00.000Z"
2139,2553,"Source 1","2019-01-16T05:00:00.000Z"
2140,9769,"Source 3","2020-07-08T05:00:00.000Z"
2141,10795,"Source 3","2020-06-21T05:00:00.000Z"
